what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275225367938
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275225367969
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275225390844
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1275225408109
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1275225409188
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275225412094
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275225414078
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1275225418875
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275225419922
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275225432906
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275225482531
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1275225494266
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1275225495250
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1275225496016
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275225497547
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275225524172
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275225525250
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275225526188
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275225526234
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275225526250
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275225542672
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275225544063
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275225545750
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275225548594
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275225550234
