what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275054962333
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275054964255
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275055016520
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275055016692
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275055016833
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275055017208
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1275055030645
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275055032973
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275055034723
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275055037333
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275055039036
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1275055040911
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275055043801
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275055044926
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1275055059583
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1275055066505
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1275055079708
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275055082958
activated,view,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.views.FormView,1275055090661
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275055106723
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275055120364
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275055120395
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1275055120520
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275055125723
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1275055144083
